Date,Open,High,Low,Close,Adj Close,Volume,Weekday
2/8/2017,807,811.840027,803.190002,808.380005,808.380005,1155300,4
2/9/2017,809.51001,810.659973,804.539978,809.559998,809.559998,989700,5
2/10/2017,811.700012,815.25,809.780029,813.669983,813.669983,1135000,6
2/13/2017,816,820.958984,815.48999,819.23999,819.23999,1213300,2
2/14/2017,819,823,816,820.450012,820.450012,1053600,3
2/15/2017,819.359985,823,818.469971,818.97998,818.97998,1313600,4
2/16/2017,819.929993,824.400024,818.97998,824.159973,824.159973,1287600,5
2/17/2017,823.02002,828.070007,821.655029,828.070007,828.070007,1611000,6
2/21/2017,828.659973,833.450012,828.349976,831.659973,831.659973,1262300,3
2/22/2017,828.659973,833.25,828.640015,830.76001,830.76001,982900,4
2/23/2017,830.119995,832.460022,822.880005,831.330017,831.330017,1472800,5
2/24/2017,827.72998,829,824.200012,828.640015,828.640015,1392200,6
2/27/2017,824.549988,830.5,824,829.280029,829.280029,1101500,2
2/28/2017,825.609985,828.539978,820.200012,823.210022,823.210022,2260800,3
3/1/2017,828.849976,836.255005,827.26001,835.23999,835.23999,1496500,4
3/2/2017,833.849976,834.51001,829.640015,830.630005,830.630005,942500,5
3/3/2017,830.559998,831.359985,825.750977,829.080017,829.080017,896400,6
3/6/2017,826.950012,828.880005,822.400024,827.780029,827.780029,1109000,2
3/7/2017,827.400024,833.409973,826.52002,831.909973,831.909973,1037600,3
3/8/2017,833.51001,838.150024,831.789978,835.369995,835.369995,989800,4
3/9/2017,836,842,834.210022,838.679993,838.679993,1261500,5
3/10/2017,843.280029,844.909973,839.5,843.25,843.25,1704000,6
3/13/2017,844,848.684998,843.25,845.539978,845.539978,1223600,2
3/14/2017,843.640015,847.23999,840.799988,845.619995,845.619995,779900,3
3/15/2017,847.590027,848.630005,840.77002,847.200012,847.200012,1381500,4
3/16/2017,849.030029,850.849976,846.130005,848.780029,848.780029,977600,5
3/17/2017,851.609985,853.400024,847.109985,852.119995,852.119995,1712300,6
3/20/2017,850.01001,850.219971,845.150024,848.400024,848.400024,1231500,2
3/21/2017,851.400024,853.5,829.02002,830.460022,830.460022,2463500,3
3/22/2017,831.909973,835.549988,827.179993,829.590027,829.590027,1401500,4
3/23/2017,821,822.570007,812.257019,817.580017,817.580017,3487100,5
3/24/2017,820.080017,821.929993,808.890015,814.429993,814.429993,1981000,6
3/27/2017,806.950012,821.630005,803.369995,819.51001,819.51001,1894300,2
3/28/2017,820.409973,825.98999,814.026978,820.919983,820.919983,1620500,3
3/29/2017,825,832.765015,822.380005,831.409973,831.409973,1786300,4
3/30/2017,833.5,833.679993,829,831.5,831.5,1055300,5
3/31/2017,828.969971,831.640015,827.390015,829.559998,829.559998,1401900,6
4/3/2017,829.219971,840.849976,829.219971,838.549988,838.549988,1671500,2
4/4/2017,831.359985,835.179993,829.036011,834.570007,834.570007,1045400,3
4/5/2017,835.51001,842.450012,830.719971,831.409973,831.409973,1555300,4
4/6/2017,832.400024,836.390015,826.460022,827.880005,827.880005,1254400,5
4/7/2017,827.960022,828.484985,820.513,824.669983,824.669983,1057300,6
4/10/2017,825.390015,829.349976,823.77002,824.72998,824.72998,978900,2
4/11/2017,824.710022,827.427002,817.02002,823.349976,823.349976,1079700,3
4/12/2017,821.929993,826.659973,821.02002,824.320007,824.320007,900500,4
